,Country,Date Start,Description of measure implemented
602,Russia,"Mar 18, 2020",Russia will ban the entry of foreign nationals and stateless people from March 18 to May 1 in response to the coronavirus outbreak.
653,US:Washington,"Mar 18, 2020",preparation of field hospitals
63,Sweden,"Mar 18, 2020",High schools and universities told to  stop in-person classes 
64,Sweden,"Mar 18, 2020","The Government proposes that airlines be able to receive credit guarantees in 2020 amounting to a maximum of SEK 5 billion, of which SEK 1.5 billion is intended for SAS. It will also be proposed that the Swedish Export Credit Agency’s credit guarantee framework be expanded to support Swedish export companies and, by extension, the shipping industry. The proposal is based on an agreement between the Government, the Centre Party and the Liberal Party."
646,US:Utah,"Mar 18, 2020",suspension of dine-in services
929,Greece,"Mar 18, 2020","On 18 March, in a joint news conference, Finance Minister Christos Staikouras, Labour Minister Yannis Vroutsis, and Development & Investments Minister Adonis Georgiadis announced a package of measures to support the economy, businesses and employees. The measures include the suspension, for four months, of tax and social security obligations of corporations that were ordered to close by the state decree, with the sole condition that they do not dismiss any workers. This measure covers about 220,000 businesses and 600,000 employees. The measures also include an €800 stipend as well as a four-month suspension of payment of March taxes on employees of businesses the activity of which was suspended and on freelance professionals who work in sectors affected by the pandemic. The reduction of VAT tax from 24% to 6% on pharmaceutical products such as gloves, masks and antiseptics was also announced. Moreover, the Finance Minister announced the inclusion of Greece in an emergency assets purchases’ program worth 750 billion euros launched by the European Central Bank, and also stated the 3.5% primary surplus target for Greece is no longer in effect, according to a Eurogroup decision.[90][91][92] On the same day, Deputy Minister of Civil Protection and Crisis Management Nikos Hardalias announced a ban on public gatherings of 10 or more people and the imposition of a 1,000 euro fine on violators"
8,United Kingdom,"Mar 18, 2020",The Foreign & Commonwealth Office (FCO) advises British people against all but essential travel worldwide due to unprecedented international border closures and other restrictions.
566,Serbia,"Mar 18, 2020","As of Wednesday morning at ten o'clock, in all urban areas, it is absolutely forbidden to enter the street for persons older than 65 years and in the countryside for persons older than 70 years. From 8 pm to 5 am no one should be on the street except the competent authorities on the assignment and those who have a third shift job"
1609,Brazil,"Mar 18, 2020","Rio de Janeiro and five other municipalities — São Gonçalo, Guapimirim, Niterói, Nova Iguaçu, and Mesquita — in the state of Rio de Janeiro have declared an emergency state to help contain the coronavirus."
1193,Armenia,"Mar 18, 2020","The exact statement of the press release is (Google translate) “To date, 813 studies have been performed, 84 of which have been positive and 1 has been cured”"
940,Denmark,"Mar 18, 2020","Starting 18 March at 10 AM, a number of further restrictions were activated: It became illegal to assemble more than ten people in public, Unlike previous restrictions on the number of people allowed to assemble, the new restrictions are not merely a recommendation, and breaking the new restrictions is associated with fines of DKK 1500"
1404,US:New York,"Mar 18, 2020","the Department of Defense said the Navy's hospital ship USNS Comfort is being prepared for deployment in New York, ""to assist potentially overwhelmed communities with acute patient care"""
835,Belarus,"Mar 18, 2020","As of 18 March, a total of 51 confirmed cases have been registered, including 5 recoveries and 37 cases of asymptomatic infection course."
1274,US:New Jersey,"Mar 18, 2020","Murphy also announced that all of the state's schools, colleges, and universities would close indefinitely on the 18th"
1275,US:New Jersey,"Mar 18, 2020","In a letter that Governor Murphy sent to President Trump, he indicated that the hospital bed shortage in New Jersey could reach 123,000 to 313,000 beds sometime between May and October. He requested the U.S. military and Army Corps of Engineers to help in expanding the hospital capacity."
1442,US:Alabama,"Mar 18, 2020",statewide health order prohibited all non-work related gatherings of 25+ persons or any non-work related gatherings that cannot maintain consistent six-foot spacing between people
1441,US:Alabama,"Mar 18, 2020",Closure of all public schools
1432,Uganda,"Mar 18, 2020",banned all incoming and outgoing travel to specified highly affected countries for a period of 32 days
1299,Nepal,"Mar 18, 2020","It also decided to shut down all cinema halls, gymnasiums,museums and cultural centres,"
1445,US:Alabama,"Mar 18, 2020","Any restaurant, brewery or bar shall not permit onsite food or drink to be served for at least one week"
1384,US:New Jersey,"Mar 18, 2020",The first government-run coronavirus testing center opened on the 20th at Bergen Community College in Bergen County. Hundreds of cars were lined up for about three miles waiting to get into the drive-thru center
1300,Nepal,"Mar 18, 2020",ban gathering of more than 25 people in any public spaces including at places of worship.
1374,South Africa,"Mar 18, 2020",School closure.
1142,Hungary,"Mar 18, 2020","Several hospitals designated as quarantine centers
Several hospitals across the country are being designated as quarantine centers and “epidemic hospitals” in addition to the South Pest Central Hospital’s St László unit."
1301,Nepal,"Mar 18, 2020",The House of Representatives meeting was postponed until 26 March.
1302,Nepal,"Mar 18, 2020",Tribhuvan University and the Public Service Commission also postponed all their examinations.
1236,Singapore,"Mar 18, 2020",Singaporeans should defer all travel abroad
841,Bosnia and Herzegovina,"Mar 18, 2020","The Headquarters of Federation of B&H issued on 18 March an order that banned all public gatherings, suspending the operation of all catering facilities for the preparation and sale of food and beverages, restaurants, pizzerias, confectioneries, beauty salons, hookah bars, coffee bars, discos, tea shops, cafes, private dentists."
1449,US:Alaska,"Mar 18, 2020",restaurants were restricted to take-out and delivery
1502,Iceland,"Mar 18, 2020",Residents in Iceland who arrive from abroad will now go into quarantine
858,Bulgaria,"Mar 18, 2020","The Ministry of Health announced that citizens from a number of countries would be prohibited from entering Bulgaria starting 00:00 on 18 March. These are China, Iran, Bangladesh, India, the Maldives, Nepal, Sri Lanka, Spain, Italy, South Korea, France, Germany, the Netherlands, Switzerland and the United Kingdom."
1199,Spain,"Mar 18, 2020","The report says: “Spain has only done 30,000 since the beginning of the crisis”, but does not attribute the claim to anyone."
1503,Iceland,"Mar 18, 2020","As of 18 March, the whole world is defined as a high risk area. All travel abroad is discouraged and residents in Iceland who are currently abroad are encouraged to return home as soon as possible."
1212,Panama,"Mar 18, 2020","The article provides quotes from two health officials. However, it is not clear to whom the assertion – ‘1,455 tests have been carried out, or which 93% were negative” – is attributed."
866,Croatia,"Mar 18, 2020","The same day, the Croatian National Theater in Zagreb decided, in collaboration with the daily newspaper 24sata, to allow citizens access quality cultural content through a YouTube channel, which will feature daily performances from the branches of opera, ballet and drama, and the viewers will be able to watch some of the most popular performances of the Theater, such as One Song a Day Takes Mischief Away, Swan Lake and Ero the Joker."
1105,Afghanistan,"Mar 18, 2020","On 18 March, the Ministry of Interior Affairs banned all large gatherings, including the closure of venues that attract large crowds such as entertainment places, sports grounds, swimming pools, fitness clubs and wedding halls."
1218,Belgium,"Mar 18, 2020","The write-up of the conference states: “Belgium has 1,486 confirmed cases of coronavirus… 18,360 tests have been carried out since the start of the epidemic”"
851,Mexico,"Mar 18, 2020",Colima Governor declared a state of emergency
1451,US:Alaska,"Mar 18, 2020",entertainment venues such as movie theaters and gyms were closed
1303,Nepal,"Mar 18, 2020","The government declared suspension of all classes and postponement of all academic examinations including the Secondary Education Examination until 12 April, the end of the Month of Chaitra, the last month of Nepali calendar year when all schools hold the final examinations."
573,Czechia,"Mar 17, 2020","On Tuesday, 17 March 2020, the government approved a draft regulation banning the distribution of medicines in connection with the SARS-CoV-2 epidemic. Persons who have purchased medicinal products are not allowed to sell them abroad."
836,Andorra,"Mar 17, 2020","On 17 March, the toll of cases raised to 39. The Co-Prince Joan Enric Vives Sicília addressed a special televised message calling for the calm gratitude and collaboration among all."
850,Mexico,"Mar 17, 2020",Several universities suspended classes 
855,Mexico,"Mar 17, 2020",Inflatable hospital installed in Hidalgo before anticipated outbreak
633,US: Oregon,"Mar 17, 2020",Not allowed to visit nursing homes
856,Mexico,"Mar 17, 2020","Public events over 1,000 people suspended in Mexico City"
639,US: Nevada,"Mar 17, 2020",state of emergency
603,Russia,"Mar 17, 2020",The Russian Orthodox Church is instigating an unprecedented list of measures aiming to prevent the spread of the coronavirus in its sacred spaces nationwide.
859,Croatia,"Mar 17, 2020","On 17 March, Prime Minister Plenković announced closing shopping centres, some shops, restaurants, cinemas, theatres, reading rooms, libraries, gyms, sports centres, fitness centres, recreation centres, dance schools, children's and other workshops, exhibitions, fairs, nightclubs and discos."
907,US:N Carolina,"Mar 17, 2020",state's bars and restaurants to suspend dine-in service
696,US:Washington,"Mar 17, 2020",evictions prohibited
534,Montenegro,"Mar 17, 2020","Montenegro confirmed the first two cases of COVID-19 on Tuesday, making it the last among European countries to report outbreak of the infection on its territory. the two infected women born in 1948 and 1973, come from the coastal city of Ulcinj, and from the capital of Podgorica. They are both sent to isolation at their homes in good health.
They recently came back from abroad, namely from Spain and the United States respectively."
538,Montenegro,"Mar 17, 2020","Public transport of passengers (suburban, urban and intercity) by buses, vans and rail is suspended;
"
719,US: S Carolina,"Mar 17, 2020",delay of state tax deadlines
890,Egypt,"Mar 17, 2020",reducing energy prices for industrial users and cutting the tax on company dividends by half. Egypt will lower the price of natural gas for industrial use to $4.50 per mmbtu from $5.50.
720,US: S Carolina,"Mar 17, 2020",mandatory shutdown of dine-in service in restaurants and bars
557,Germany,"Mar 17, 2020","that there should be no vacation trips in Germany or abroad,"" said Merkel."
558,Germany,"Mar 17, 2020",Deutsche Bahn decided to reduce its regional traffic
492,Ukraine,"Mar 17, 2020","All mass gatherings (cultural, entertainment, sports, social, religious, advertising and other) involving more than ten people are prohibited"
887,Egypt,"Mar 17, 2020",Suspension of performances in cinemas and theatres
494,Ukraine,"Mar 17, 2020","Enterprises and organizations are advised to provide shift work for employees, and, if technically possible, to ensure work online"
495,Ukraine,"Mar 17, 2020","A ban on domestic intercity and interregional carriage of passengers by motor transport and a limit of passengers traveling on trams, trolleybuses and road transport on intracity routes"
488,Ukraine,"Mar 17, 2020","Restaurants, cafes, bars, shopping and entertainment centers, fitness centers, cultural establishments must close."
884,Egypt,"Mar 17, 2020","Banned export of alcohol, disinfectants, means of protection, sterilization, and medical masks for a period of three months"
675,Iran,"Mar 17, 2020","Government temporarily release 85,000 prisoners from jail to combat spread"
878,US: Florida,"Mar 17, 2020","bars, nightclubs closures"
484,Ukraine,"Mar 17, 2020","A total ban on rail, air and bus intercity and interregional passenger transport services, as well as the suspension of the underground metro in Kyiv, Kharkiv, and Dnipro"
877,US: Florida,"Mar 17, 2020",school closure
564,Montenegro,"Mar 17, 2020","The operation of indoor and outdoor sports and recreational facilities, hair and beauty saloons and swimming pools is prohibited;
"
481,Turkey,"Mar 17, 2020","Closure of all public gathering places such as cafes, gyms, Internet cafés and movie theaters, except shops and restaurants not offering music in 81 provincies"
744,Germany,"Mar 17, 2020","In order to interrupt the chain of infection when entering Germany for a long time, cross-border travel is restricted.Particular attention is paid to the unrestricted maintenance of freight traffic."
745,Germany,"Mar 17, 2020","Berlin announced the plan to construct a hospital with the Bundeswehr for housing 1000 beds for Covid-19 patients. The Federal and State Governments agreed on a new emergency plan for German hospitals which includes doubling the current capacity of 28,000 intensive care beds, of which 25,000 are equipped with ventilation"
871,Bulgaria,"Mar 17, 2020",Bansko became the first town in the country to be put under quarantine
698,US: S Carolina,"Mar 17, 2020",gatherings of more than 50 people banned
645,US: Nevada,"Mar 17, 2020",nonessential businnesses shutwodwn
934,Denmark,"Mar 17, 2020","hospitals began postponing non-essential operations as a preparation for future cases of COVID-19, and on 17 March this was done in all hospitals nationwide."
479,Kazakhstan,"Mar 17, 2020","In March 2020, President Kassym-Jomart Tokayev ordered the cancellations of both the Nowruz celebrations as well as the military parade in honor of the 75th anniversary of the end of the Second World War."
1702,US:Louisiana,"Mar 17, 2020",Jazz Fest 2020 postponed
947,Estonia,"Mar 17, 2020",The Latvian airline airBaltic suspended all flights from 17 March including those from Tallinn Airport.
1339,Kazakhstan,"Mar 17, 2020","Also, all stores and shopping malls in the two major cities will be closed and only grocery and drug stores will be allowed to operate during the quarantine."
1512,Belgium,"Mar 17, 2020","gatherings banned,"
1511,Belgium,"Mar 17, 2020","non-essential shops to close,"
1510,Belgium,"Mar 17, 2020","On the evening of 17 March, the Prime Minister broadcast a decision to impose stricter social distancing measures from noon the following day until 5 April, with non-essential travel prohibited,"
1501,Estonia,"Mar 17, 2020",The Latvian airline airBaltic suspended all flights from 17 March including those from Tallinn Airport
1396,US:New York,"Mar 17, 2020","New York City Mayor Bill de Blasio also announced that all schools, bars, and restaurants in the city were to be closed starting 9 a.m. on March 17 except for food takeout and delivery"
1367,Namibia,"Mar 17, 2020",THE government declared the novel coronavirus a state of emergency to enable the country to mobilise resources to respond to the crisis and also made N$134 million available to tackle the pandemic.
1341,Kazakhstan,"Mar 17, 2020","A quarantine was imposed on Almaty and Nur-Sultan after cases increased overnight to 33, having 15 and 18 cases respectively"
1340,Kazakhstan,"Mar 17, 2020","According to the website, special points to distribute food, medicine, and other items will be defined in Nur-Sultan and Almaty."
1276,US:New Jersey,"Mar 17, 2020","Governor Murphy said that as of 8 p.m. on the 17th, all of the state's amusement centers, amusement parks, and shopping malls would be closed indefinitely"
1559,US:Colorado,"Mar 17, 2020",all bars and restaurants closed by 8 a.m. on March 17 (except for food delivery and pickup)
300,Austria,"Mar 17, 2020","All children older than 14 years old are ordered to stay at home, starting 15 March, with the younger children starting 17 March . This will apply until 4 April."
302,Austria,"Mar 17, 2020",restaurants were ordered to close beginning on 17 March
1219,Thailand,"Mar 17, 2020",The situation reports have changed. The figure reported here can be recovered via web.archive.org
1207,Ireland,"Mar 17, 2020","The spokesperson states reports 292 people have tested positive in total and states: “The number of people tested is over 6,600”."
1190,Sweden,"Mar 17, 2020",Figures refer to individuals tested
1186,Kuwait,"Mar 17, 2020","In an earlier version of this dataset we reported an estimate of 120,000 tests based on an official letter sent to us by the Ministry of Information. After this, they sent a second email correcting their estimate to 27,000, and then a further correction to 20,000. Since no figure is substantiated in a public statement, we have decided to not publish the numbers. We will revise this once the numbers are made public."
1178,New Zealand,"Mar 17, 2020","The press release provides a breakdown of tests conducted, as follows: 11 confirmed cases, 2 probable cases, 571 negative tests. More recent press releases do not include a section on tests conducted."
1176,Qatar,"Mar 17, 2020","The report says: “As of 17 March, almost 8,400 people in Qatar have been tested for COVID-19.”"
1550,US:Arkansas,"Mar 17, 2020",Public school closure; Schools would remain closed through spring break the following week; later prolonged to April 17
1560,US:Colorado,"Mar 17, 2020","state-wide closure of dine-in services, gyms, casinos, and theaters"
1141,Hungary,"Mar 17, 2020","PM Orbán said all events in Hungary will be banned starting at midnight on Monday, adding that sporting events should be held behind closed doors unless the organizers cancel those events altogether. Shops are not allowed to remain open beyond 3 p.m., excluding food stores and pharmacies. this regulation does not yet apply to the services sector – such as nail parlors, hairdressers and gymnasiums"
1646,US:Iowa,"Mar 17, 2020","Social, community, spiritual, religious, recreational, leisure, and sporting gatherings and events of more than 10 people are hereby prohibited"
1697,US:Louisiana,"Mar 17, 2020",restaurants banned from providing consumption on premises
1696,US:Louisiana,"Mar 17, 2020","movie theaters, bars, fitness centers, casinos, etc. closed"
1694,US:Louisiana,"Mar 17, 2020",all gatherings of 50 people or more postponed or cancelled
1684,US: Rhode Island,"Mar 17, 2020",crowds of 25 or more people banned
19,South Korea,"Mar 17, 2020","Child cares, Kindergartens- remain to be closed until 5 April 2020/ All schools postponed commencements to 3 April 2020 "
1680,US: Rhode Island,"Mar 17, 2020",Bars and dine-in restaurants closed
1652,US:Kansas,"Mar 17, 2020",Governor orders all public schools to close for the rest of the school year
1651,US:Kansas,"Mar 17, 2020",ban gatherings of 50 in enclosed space
1645,US:Iowa,"Mar 17, 2020","Fitness centers, theaters, casinos and similar facilities closed"
1561,US:Colorado,"Mar 17, 2020",banned gatherings of more than 50 people
1644,US:Iowa,"Mar 17, 2020",All Restaurants and Bars are hereby closed to the general public
1641,US:Iowa,"Mar 17, 2020",Gov. Reynolds issues a State of Public Health Disaster Emergency
1630,US:Hawaii,"Mar 17, 2020",spring break for public schools in Hawaii would be extended for an additional week; later extended
65,Sweden,"Mar 17, 2020","Temporary entry ban to the EU via Sweden. In response to the European Council’s and the European Commission’s call for travel restrictions, the Government decided on 17 March to temporarily stop non-essential travel to Sweden so as to mitigate the effects of the outbreak of the COVID-19 virus and reduce the spread of the disease."
1610,Brazil,"Mar 17, 2020",Brazilian authorities partially closed their border with Venezuela
1600,Brazil,"Mar 17, 2020",Mechanical Turk data n=70
88,Israel,"Mar 17, 2020","Tracking coronavirus patients through their cellphones. The Israeli government passed emergency regulations that allow security services to track the cellphones of coronavirus patients. Attorney General Avichai Mandelblit approved the move, which circumvented the approval of the entire Knesset and the oversight of several committees."
99,US:New Jersey,"Mar 17, 2020",upcoming local special elections and school board elections would be postponed until May 12
1161,Czechia,"Mar 17, 2020",10% of citizens in public wearing masks
1304,Nepal,"Mar 17, 2020","A meeting of the high-level coordination committee for prevention and control of COVID-19 decided to add 115 ICU and 1,000 isolation beds in the Kathmandu Valley. It also instructed the provincial governments to setup a total of 120 ICU beds."
595,Russia,"Mar 17, 2020","All football, hockey and basketball games are suspended."
1125,US:Maryland,"Mar 17, 2020",he Vehicle Emissions Inspection Program (VEIP) was suspended in Maryland as their facilities were announced to be converted into drive-thru coronavirus testing centers
388,Hungary,"Mar 17, 2020",The Hungarian Football Federation (MLSZ) postponed all football matches
1009,US: Virginia,"Mar 17, 2020",gatherings more 10 people banned
1013,US: Illinois,"Mar 17, 2020",Governor Pritzker announced statewide school closures beginning March 17 until March 30.[28]
391,France,"Mar 17, 2020","President Emmanuel Macron commanded the French to stay at home for at least 15 days. Only trips to supermarkets, pharmacies and places of work will be allowed and all workers have been told to work from home where possible."
431,Moldova,"Mar 17, 2020","The activity of all markets, such as retail outlets, public food outlets throughout the country, with the exception of pharmacies, grocery stores and PECO stations, will end until March 31"
428,Moldova,"Mar 17, 2020","All air travel banned, regardless of the purpose and destination, land borders closed too"
1124,US:Maryland,"Mar 17, 2020","The MTA announced that weekday service on the Baltimore Light RailLink and Metro SubwayLink would begin to operate on a Saturday schedule. In addition, MTA Commuter Bus service was changed to the ""S"" schedule following a 30% reduction in ridership and the MARC commuter train service was announced to have a 70% reduction in ridership"
395,Spain,"Mar 17, 2020",Spain will close all of its land borders to unnecessary travel at midnight
994,US: Wisconsin,"Mar 17, 2020","On March 17, a statewide ban of all gatherings with more than 10 people was announced by the governor."
407,Hungary,"Mar 17, 2020","only Hungarian citizens will be allowed to enter the country. The restriction relates to all road, railway, water and air borders."
997,US: Wisconsin,"Mar 17, 2020","Restaurants, bars etc:  No seating may be
provided, food and drink may not be consumed on the premises (either indoors or outdoors) and customers may enter the
facility only to pick up and pay. Self-service operations, including salad bars, beverage stations, and buffets are
prohibited. Customers are prohibited from self-dispensing all unpackaged food."
427,Malta,"Mar 17, 2020","All bars, cinemas, restaurants, gyms are closed "
1126,US:Maryland,"Mar 17, 2020",the number people allowed at Baltimore-Washington International Thurgood Marshall Airport was reduced
1127,US:Maryland,"Mar 17, 2020","Governor Hogan announced an executive order that postponed the Maryland primary elections, which were supposed to be held on April 28, until June 2"
1128,US:Maryland,"Mar 17, 2020",Cashless tolling was enacted at all toll plazas
1129,US:Maryland,"Mar 17, 2020","Governor Hogan announced that the Preakness Stakes, which take place at Pimlico Race Course in Baltimore, would be postponed until September 2020"
1037,US: Indiana,"Mar 17, 2020",GAthering of more than 50 people banned
449,Iceland,"Mar 17, 2020","On 16 March, the supermarket chain Samkaup announced that 27 grocery stores throughout Iceland would have special shopping times for vulnerable members of the public, including the elderly and those with chronic and underlying illnesses. Starting on 17 March, select Nettó and Kjörbúðin locations would reserve the hour from 9 to 10 a.m. for those shoppers at greatest risk of severe complications should they contract COVID-19.["
369,Estonia,"Mar 17, 2020","To set up full border control from 17 March with only Estonian citizens, permanent residents, their relatives, and transport workers carrying out freight transport allowed to enter the country."
973,South Korea,"Mar 17, 2020","Encourage people who have travelled oversea within last 14 days, self-isolate and social distance immediately "
1121,US:Maryland,"Mar 17, 2020",Morgan State University in Baltimore announced that it would be suspending face-to-face instruction for the remainder of the semester
660,US: Nevada,"Mar 16, 2020",all schools closure
1607,Brazil,"Mar 16, 2020",an Emergency Operations Center (COE) of the Municipal Health Secretariat (Sesau) was created to establish actions to combat and control Covid-19.
1030,US: Indiana,"Mar 16, 2020","Governor Holcomb also ordered all bars, restaurants, and nightclubs to close to in-house patrons; only take-out would be permitted"
1033,US:Maryland,"Mar 16, 2020",Archbishop William E. Lori of the Roman Catholic Archdiocese of Baltimore announced that all Catholic schools in the archdiocese would close
1575,US: Massachussets,"Mar 16, 2020",Boston Mayor Marty Walsh ordered construction projects to shut down
1622,Brazil,"Mar 16, 2020",Suspension of day release programme
1003,US: Virginia,"Mar 16, 2020",the National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons
623,Iran,"Mar 16, 2020",Closure of religious sites
910,US:Georgia,"Mar 16, 2020","Emory University, University of Georgia sytem shut down"
634,US: Oregon,"Mar 16, 2020",dine in restaurants not allowed
597,Russia,"Mar 16, 2020","Russia has closed its border with neighboring Belarus as a ""proactive step"" to halt the coronavirus' spread, the state-run TASS news agency quoted Prime Minister Mikhail Mishustin as saying."
985,US:Delaware,"Mar 16, 2020",dine-in restaurants closed (takeaway allowed)
916,Croatia,"Mar 16, 2020","On 16 March, Bishop of Sisak Vlado Košić relieved the believers of obligation to attend the Mass until 1 April."
986,US:Delaware,"Mar 16, 2020",National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons
990,US: Illinois,"Mar 16, 2020",all gatherings of 50 or more people will be canceled in accordance with new guidelines which were issued by the CDC.
1679,US: Rhode Island,"Mar 16, 2020",The Roman Catholic Diocese of Providence cancels all public Mass services until further notice
1672,US: Rhode Island,"Mar 16, 2020",Public schools are closed onward
1657,US:Kentucky,"Mar 16, 2020",all bars and restaurants would close to dining
612,Russia,"Mar 16, 2020",Moscow and the Moscow region will make school attendance optional starting on Monday in a bid to curb the spread of the coronavirus.
613,Russia,"Mar 16, 2020","Moscow has banned all public events larger than 50 people from now until April 10, Mayor Sergei Sobyanin said in a new decree. Older citizens are also advised to stay at home."
614,Russia,"Mar 16, 2020","People entering Russia from the United States, Britain, the European Union, Ukraine, Belarus and all other non-EU countries in Europe — as well as those who live with them — will now be required to self-isolate for 14 days upon arrival."
620,Romania,"Mar 16, 2020",State of emergency in Romania.
1043,US:Maryland,"Mar 16, 2020","Governor Hogan held a press conference in the late morning of March 16, where he announced an executive order that will require all bars, restaurants, gyms, and movie theaters in the state to close at 5:00 p.m. that day"
632,US: Oregon,"Mar 16, 2020",ban on gatherings of more than 25 people
911,US:Georgia,"Mar 16, 2020",Many school districts in the state of Georgia made the decision to cancel classes for at least two weeks
1040,US:Maryland,"Mar 16, 2020","Governor Hogan ordered all of the state's casinos, racetracks, and off-track betting to cease operations"
1140,Hungary,"Mar 16, 2020",The Honvéd Hospital will operate as a pre-examination point from Monday onwards. The pre-test consists of a fever check and a questionnaire. Only those who are not suspected of being infected with coronavirus can enter the hospital.
1051,US:Maryland,"Mar 16, 2020","As part of the executive order, all evictions are postponed and all utilities cannot be cut off or incur late fees"
1543,US: Connecticut,"Mar 16, 2020",governor Lamont ordered all schools to close after March 16
1123,US:Maryland,"Mar 16, 2020","all three MARC commuter rail lines would operate on the ""R"" special schedule, causing fewer trains to run throughout the day"
1328,Switzerland,"Mar 16, 2020","the Federal Council has declared an ""extraordinary situation"" and introduces stringent measures such as closing all shops, restaurants, bars, entertainment and leisure facilities, or carful screening at borders with Austria, Germany and France. The Federal Council has also authorised the deployment of up to 8000 members of the armed forces to assist the cantons at hospitals and with logistics and security."
960,US:Maryland,"Mar 16, 2020",schools closure
837,Andorra,"Mar 16, 2020",On 16 March the Prime Minister ordered the closing of all construction and industrial activity as the coronavirus cases amounted to 14 after a rise of 9 on the day with the highest number of cases registered.
1273,US:New Jersey,"Mar 16, 2020","All bars, casinos, gyms, movie theaters, and restaurants were closed indefinitely on the 16th at 8 p.m., though bars and restaurants were allowed to remain open for delivery or takeout only"
1272,US:New Jersey,"Mar 16, 2020",gatherings more 50 people prohibited
843,US: Florida,"Mar 16, 2020","On March 16, MLB announced that the season will be postponed indefinitely"
1254,Singapore,"Mar 16, 2020","All travellers, including Singaporeans, with recent travel history to Asean countries, Japan, Switzerland, or Britain within the last 14 days will be issued a 14-day SNH"
1224,United Arab Emirates,"Mar 16, 2020","The press release, published in Twitter by the official account from the Ministry of Health and Prevention, reads as follows: “To date the UAE has performed over 125,000 test”"
1223,Palestine,"Mar 16, 2020","The estimate is provided as a PDF statement. Wikipedia mentions the reported figures, but we could not translate the content to confirm the source"
1204,Belarus,"Mar 16, 2020","Media report (in Google translate says “In total, from the beginning of February, specialists from the RPRC of Epidemiology and Microbiology conducted more than 16 thousand tests for COVID-19”. This specific comment is not clearly attributed to any official source."
1137,Hungary,"Mar 16, 2020",9:30 pm - March 13: PM Orbán announces that schools will be closed from Monday
862,Croatia,"Mar 16, 2020","On 13 March, Prime Minister Plenković announced that all kindergartens, schools and faculties in Croatia would be closed for a fortnight starting on 16 March."
1138,Hungary,"Mar 16, 2020",Municipalities can decide whether to close or keep open kindergartens within their own local power structure.
872,Bulgaria,"Mar 16, 2020","Additionally, sanitary control units will be established on some border crossings with Serbia, North Macedonia, Greece and Romania."
831,Andorra,"Mar 16, 2020",The Government announced that it would close all schools from 16 March.
826,Albania,"Mar 16, 2020","On 16 March, another wide-ranging ""emergency legislation"" was adopted, specifying various fines for violations of protocol, to be effective immediately. Social, cultural, and political gatherings, whether in enclosed or open-air spaces, were banned, and violators could be fined up to 5 million lek (or 40,000 euros)."
1122,US:Maryland,"Mar 16, 2020",all 24 public library systems in the state were shut down for a two-week period.
726,US: S Carolina,"Mar 16, 2020",The South Carolina High School League (SCHSL) suspends all spring sport
685,Switzerland,"Mar 16, 2020","the Federal Council has declared an ""extraordinary situation"" and introduces stringent measures such as closing all shops, restaurants, bars, entertainment and leisure facilities, or carful screening at borders with Austria, Germany and France. The Federal Council has also authorised the deployment of up to 8000 members of the armed forces to assist the cantons at hospitals and with logistics and security."
1528,US: Pennsylvania,"Mar 16, 2020",A no visitor policy was implemented for correctional facilities and nursing homes statewide
1522,US: Pennsylvania,"Mar 16, 2020",bars and restaurants will be ordered to close to dine-in customers in those counties
1139,Hungary,"Mar 16, 2020","Judgment pause: The government states that the President of the Curia, the President of the National Courts Office and the Attorney General have ordered an extraordinary pause in court judgments."
1052,US:Maryland,"Mar 16, 2020",gathering more than 50 people banned
1055,Greece,"Mar 16, 2020","On 16 March, after being briefed by infectious disease spokesman Sotiris Tsiodras, the Greek Orthodox Church announced the suspension of all daily liturgies and sacraments; churches were to remain open only for private prayer, weddings and baptisms were indefinitely suspended and funerals were to be held with only the immediate family present. The Greek Orthodox Church announced that Sunday liturgies were to take place from March 22 to April 11, but to be restricted to the Eucharist sacraments, performed between 7 and 8 in the morning.[114] Following the announcement of the Greek Orthodox Church,[115] the Greek Prime Minister announced the government's decision to suspend services in all areas of religious worship of any religion or dogma from 16-30 March,[116] effectively suspending the Greek Orthodox Sunday Divine Liturgies for that period too."
1448,US:Alaska,"Mar 16, 2020",public schools to close
821,Albania,"Mar 16, 2020","Television stations were banned from having more than two people in the same room for a talk show, on the pain of a 1 million lek fine (8300 euros). Private hospitals that refuse to offer capacities were to be fined up to 5 million lek (40000 euros). Any trade in food or medicine that did not comply with the specified government safety regulations to combat infections risked a fine of up to 10 million lek (83000 euros). The legislation, called a ""normative act"", is an emergency law taking effect without prior approval by parliament.[25] Furthermore, a national curfew was imposed: each day, all citizens were required to return to stay in their homes from 18:00 onward, as well as a ban on sitting in public places. Those found in violation will be fined"
1419,Morocco,"Mar 16, 2020",All schools shut down until further notice
1389,US:New York,"Mar 16, 2020",Cuomo announced that New York City schools would close the following day through April 20
1380,Iceland,"Mar 16, 2020","At 11:00 on 13 March, it was announced at a press conference that universities and secondary schools would be closing as of Monday 16 March, on which day a ban on public gatherings of over 100 would be put in place"
774,Italy,"Mar 16, 2020","On 16 March, President of Emilia-Romagna Bonaccini imposed a strengthened quarantine to the municipality of Medicina, near Bologna; the epicentre of one very developed outbreak. People were not allowed to enter or exit from the town for any reason."
